Edition,Publisher,Base/Expansion,Deck,Number,Type,Player(s),Name,Cost,VPs,Prerequisites,Passing Left,Card Category (Revised only),Text
Original,Z-Man,Base,,1,Major Improvement,,Fireplace,2 Clay,1,,,,"At any time, you may convert goods to Food as follows: Vegetables: 2 Food Sheep: 2 Food Wild boar: 2 Food Cattle: 3 Food Whenever you use the ""Bake bread"" action, you may convert: Grain: 2 Food."
Original,Z-Man,Base,,2,Major Improvement,,Fireplace,3 Clay,1,,,,"At any time, you may convert goods to Food as follows: Vegetables: 2 Food Sheep: 2 Food Wild boar: 2 Food Cattle: 3 Food Whenever you use the ""Bake bread"" action, you may convert: Grain: 2 Food."
Original,Z-Man,Base,,3,Major Improvement,,Cooking Hearth,Return Fireplace or 4 Clay,1,,,,"At any time, you may convert goods to Food as follows: Vegetables: 3 Food Sheep: 2 Food Wild boar: 3 Food Cattle: 4 Food Whenever you use the ""Bake bread"" action, you may convert: Grain: 3 Food."
Original,Z-Man,Base,,4,Major Improvement,,Cooking Hearth,Return Fireplace or 5 Clay,1,,,,"At any time, you may convert goods to Food as follows: Vegetables: 3 Food Sheep: 2 Food Wild boar: 3 Food Cattle: 4 Food Whenever you use the ""Bake bread"" action, you may convert: Grain: 3 Food."
Original,Z-Man,Base,,5,Major Improvement,,Clay Oven,"3 Clay,1 Stone",2,,,,"Whenever you use the ""Bake bread"" Action, you can turn at most 1 Grain into 5 Food. When you take this card, you can immediately use the ""Bake bread"" Action."
Original,Z-Man,Base,,6,Major Improvement,,Stone Oven,"1 Clay,3 Stone",3,,,,"Whenever you use the ""Bake bread"" Action, you can turn up to 2 Grain into 4 Food each. When you take this card, you can immediately use the ""Bake bread"" Action."
Original,Z-Man,Base,,7,Major Improvement,,Joinery,"2 Wood,2 Stone",2,,,,"In each Harvest, you can use the Joinery to convert at most 1 Wood to 2 Food. At the end of the game, you receive 1/2/3 Bonus points for 3/5/7 Wood."
Original,Z-Man,Base,,8,Major Improvement,,Pottery,"2 Clay,2 Stone",2,,,,"In each Harvest, you can use the Pottery to convert at most 1 Clay to 2 Food. At the end of the game, you receive 1/2/3 Bonus points for 3/5/7 Clay."
Original,Z-Man,Base,,9,Major Improvement,,Basketmaker's Workshop,"2 Reed,2 Stone",2,,,,"In each Harvest, you can use the Basketmaker's Workshop to convert at most 1 Reed to 3 Food. At the end of the game, you receive 1/2/3 Bonus points for 2/4/5 Reed."
Original,Z-Man,Base,,10,Major Improvement,,Well,"1 Wood,3 Stone",4,,,,"Place 1 Food each on the next 5 remaining Round spaces. At the start of these rounds, you receive the Food."
Original,Z-Man,Base,E,11,Minor Improvement,,Field,,,,X,,"When you play this card, immediately Plow 1 field."
Original,Z-Man,Base,E,12,Minor Improvement,,Fishing Rod,1 Wood,,,,,"Whenever you use the ""Fishing"" Action space, you receive 1 additional Food. From Round 8, you receive 2 additional Food."
Original,Z-Man,Base,E,13,Minor Improvement,,Axe,"1 Wood,1 Stone",,,,,"Whenever you add a room to your Wooden hut, you only pay 2 Wood and 2 Reed."
Original,Z-Man,Base,E,14,Minor Improvement,,Baker's Oven,,3,Return 1 Oven of your choice,,,"Whenever you use the ""Bake bread"" action, you can use the Baker's Oven to convert up to 2 Grain into 5 Food each. When you play this card, you can also take the ""Bake bread"" Action."
Original,Z-Man,Base,E,15,Minor Improvement,,Baking Tray,1 Wood,,,,,"Clay Ovens and Stone Ovens are Minor Improvements for you. Clay, Stone and Wood-fired Ovens cost you 1 building resource (of your choice) less."
Original,Z-Man,Base,E,16,Minor Improvement,,Building Material,,,,X,,You receive either 1 Wood or 1 Clay when you play this card.
Original,Z-Man,Base,E,17,Minor Improvement,,Windmill,"3 Wood,1 Stone",2,,,,"At any time, you can convert Grain to 2 Food (without having to Bake bread.)"
Original,Z-Man,Base,E,18,Minor Improvement,,Bean Field,,1,2 Occupations,,,"When you Sow, you can plant Vegetables on this card as though it were a field. (This card does not count as a field when scoring.)"
Original,Z-Man,Base,E,19,Minor Improvement,,Gypsy's Crock,2 Clay,1,,,,"Whenever you convert any 2 goods to Food at one time using a Fireplace, Cooking Hearth or Cooking Corner, you receive 1 additional Food."
Original,Z-Man,Base,E,20,Minor Improvement,,Simple Fireplace,1 Clay,1,,,,"At any time, you may convert goods to Food as follows: Vegetables: 2 Food Sheep: 1 Food Wild Boar: 2 Food Cattle: 3 Food Whenever you use the ""Bake bread"" action, you may convert: Grain: 2 Food."
Original,Z-Man,Base,E,21,Minor Improvement,,Half-timbered House,"1 Wood,1 Clay,1 Reed,2 Stone",,,,,"At the end of the game you receive 1 Bonus point for each room in your Stone house. (In total, you receive 3 points instead of 2 per room.)(If you have played the Mansion, you do not score extra points for having the Half-timbered House.)"
Original,Z-Man,Base,E,22,Minor Improvement,,Raft,2 Wood,1,,,,"Whenever you use the ""Fishing"" Action space, you receive an additional 1 Food or 1 Reed."
Original,Z-Man,Base,E,23,Minor Improvement,,Manger,2 Wood,,,,,"At the end of the game, if your pastures occupy 6/7/8/9+ farmyard spaces, you receive 1/2/3/4 Bonus points."
Original,Z-Man,Base,E,24,Minor Improvement,,Animal Pen,,1,4 Occupations,,,"Place 2 Food on each remaining Round space. At the start of each round, you receive the Food."
Original,Z-Man,Base,E,25,Minor Improvement,,Spices,,,,,,"Whenever you convert Vegetables to Food using a Fireplace, Cooking Hearth or Cooking Corner, you receive 1 additional Food."
Original,Z-Man,Base,E,26,Minor Improvement,,Plane,1 Wood,,,,,"Whenever you turn 1 Wood into Food using the Joinery, Sawmill or Cabinetmaker, you receive 1 additional Food. You can choose instead to turn a second Wood into exactly 2 Food."
Original,Z-Man,Base,E,27,Minor Improvement,,Wood-Fired Oven,"3 Wood,1 Stone",2,,,,"Whenever you use the ""Bake bread"" action, you can use the Wood-fired Oven to turn any number of Grain into 3 Food each. When you play this card, you can also take the ""Bake bread"" action."
Original,Z-Man,Base,E,28,Minor Improvement,,Clogs,1 Wood,,,,,"At the end of the game, you receive 1 Bonus point for a Clay hut or 2 Bonus points for a Stone house."
Original,Z-Man,Base,E,29,Minor Improvement,,Shepherd's Pipe,,,1 Sheep,,,You can hold up to 2 additional Sheep in each of the pastures where you keep Sheep. You can keep up to 2 Sheep in each unfenced stable.
Original,Z-Man,Base,E,30,Minor Improvement,,Canoe,2 Wood,1,2 Occupations,,,"Whenever you use the ""Fishing"" Action space, you receive an additional 1 Food and 1 Reed."
Original,Z-Man,Base,E,31,Minor Improvement,,Carp Pond,,1,1 Occupation and 2 Improvements,,,"Place 1 Food on each remaining odd-numbered Round space. At the start of these rounds, you receive the Food."
Original,Z-Man,Base,E,32,Minor Improvement,,Potato Dibber,1 Wood,,,,,"Whenever you Sow fields with Vegetables, place 1 additional Vegetable on each field that you Sow."
Original,Z-Man,Base,E,33,Minor Improvement,,Ceramics,1 Clay,,1 Oven,,,"When you play this card, you receive 2 Food. From now, the Pottery is a Minor Improvement for you and costs you nothing."
Original,Z-Man,Base,E,34,Minor Improvement,,Basket,1 Reed,,,,,"Whenever you use a person's action to take Wood from an Action space, you can leave 2 of the Wood on the Action space and receive 3 Food in exchange."
Original,Z-Man,Base,E,35,Minor Improvement,,Corn Scoop,1 Wood,,,,,"Whenever you use the ""Take 1 Grain"" Action, you receive 1 additional Grain."
Original,Z-Man,Base,E,36,Minor Improvement,,Clay Roof,,1,1 Occupation,,,You can replace 1 or 2 Reed with the same amount of Clay whenever you extend or renovate your home.
Original,Z-Man,Base,E,37,Minor Improvement,,Clay Supports,2 Wood,,,,,"Whenever you add a room to your Clay hut, you can pay 2 Clay, 1 Wood and 1 Reed instead of 5 Clay and 2 Reed."
Original,Z-Man,Base,E,38,Minor Improvement,,Madonna Statue,,2,Remove 2 played Improvements,,,The Madonna Statue has no effect. (You must remove Improvements that are on the table in front of you. You may not discard cards from your hand. It is irrelevant whether you remove Major or Minor Improvements.)
Original,Z-Man,Base,E,39,Minor Improvement,,Market Stall,1 Grain,,,X,,"When you play this card, you receive 1 Vegetable."
Original,Z-Man,Base,E,40,Minor Improvement,,Mini Pasture,2 Food,,,X,,"When you play this card, immediately Fence one space in your farmyard. (You do not need to pay Wood for the fences.)"
